COUNT    | LINE
-----------------------------------------------------
    3197 | 289752
    3195 | 905554
    2777 | 289553
    2750 | 905216
    2744 | 905915
    2326 | 905237
    2272 | 289878
    2266 | 905239
    2258 | 905230
    2131 | 705252
    1945 | 905553
    1890 | 289997
    1885 | 905235
    1860 | 289240
    1803 | 905794
    1795 | 289296
    1720 | 905591
    1713 | 905303
    1686 | 905417
    1670 | 519304
    1602 | 905495
    1544 | 905471
    1525 | 905832
    1520 | 905582
    1462 | 289337
    1425 | 519265
    1404 | 905846
    1401 | 905472
    1371 | 905824
    1360 | 289362
    1351 | 905294
    1338 | 289396
    1337 | 647348
    1335 | 905643
    1332 | 519954
    1313 | 905840
    1305 | 905354
    1303 | 905493
    1297 | 519267
    1297 | 905497
    1285 | 519753
    1285 | 905383
    1276 | 905851
    1275 | 289820
    1268 | 905455
    1249 | 705431
    1242 | 519208
    1232 | 647347
    1229 | 905735
    1222 | 647351
    1221 | 905856
    1220 | 905388
    1218 | 905773
    1216 | 905623
    1215 | 905728
    1211 | 905686
    1210 | 905655
    1209 | 289597
    1207 | 905389
    1204 | 416792
    1202 | 905385
    1196 | 416551
    1191 | 519623
    1191 | 519752
    1189 | 905793
    1182 | 905551
    1175 | 647346
    1172 | 416651
    1172 | 905732
    1171 | 647340
    1170 | 905723
    1167 | 519756
    1167 | 905201
    1167 | 905356
    1166 | 416653
    1162 | 905503
    1161 | 647345
    1160 | 416654
    1158 | 905648
    1147 | 416466
    1146 | 416546
    1145 | 905683
    1140 | 905427
    1126 | 647344
    1124 | 905935
    1115 | 416284
    1115 | 905547
    1114 | 905579
    1114 | 905934
    1113 | 647343
    1112 | 416282
    1109 | 905775
    1102 | 416901
    1102 | 905257
    1100 | 905450
    1097 | 905227
    1097 | 905426
    1093 | 416656
    1092 | 905662
    1089 | 519442
    1085 | 905544
    1082 | 905834
    1081 | 905725
    1080 | 416465
    1080 | 905791
    1075 | 905796
    1073 | 705436
    1073 | 905358
    1071 | 519539
    1070 | 905640
    1066 | 905457
    1065 | 416519
    1061 | 905827
    1060 | 905857
    1055 | 416283
    1054 | 519621
    1051 | 647342
    1048 | 905387
    1047 | 905636
    1046 | 226647
    1038 | 905419
    1038 | 905785
    1036 | 905545
    1035 | 416724
    1033 | 905454
    1032 | 905937
    1031 | 905642
    1021 | 905799
    1020 | 519759
    1019 | 905668
    1018 | 289389
    1018 | 289837
    1014 | 905576
    1009 | 905397
    1004 | 905945
    1000 | 519745
     997 | 905877
     994 | 519743
     989 | 905428
     988 | 905956
     987 | 905884
     986 | 905357
     985 | 905549
     983 | 416439
     982 | 519576
     979 | 289304
     978 | 416286
     978 | 519622
     975 | 519578
     974 | 905575
     972 | 416767
     968 | 905697
     967 | 905997
     965 | 416743
     965 | 905605
     964 | 416533
     964 | 905459
     959 | 905765
     956 | 289234
     954 | 416461
     954 | 905453
     954 | 905574
     945 | 519579
     945 | 905878
     941 | 416534
     940 | 905734
     936 | 416532
     936 | 905318
     935 | 289239
     934 | 905664
     931 | 416686
     925 | 416244
     925 | 905792
     924 | 416769
     923 | 519742
     919 | 416249
     919 | 905304
     915 | 905425
     915 | 905847
     914 | 416431
     914 | 905430
     914 | 905737
     912 | 416536
     912 | 519744
     909 | 905826
     899 | 416438
     899 | 705728
     896 | 905458
     892 | 416652
     891 | 905508
     890 | 416755
     889 | 289660
     887 | 905209
     887 | 905951
     882 | 905665
     881 | 416247
     881 | 705726
     881 | 905895
     879 | 705294
     873 | 416537
     866 | 905839
     865 | 905451
     862 | 519893
     861 | 905492
